	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
gene0	890	242	129	494	986	729	14	958	233	229
gene1	404	514	943	270	265	880	509	235	959	99
gene2	423	130	599	707	6	147	859	154	865	602
gene3	716	198	855	155	893	714	94	435	290	306
gene4	787	465	354	211	16	510	138	368	237	562
gene5	338	774	345	28	80	835	657	413	289	270
gene6	33	136	260	277	185	574	596	135	224	368
gene7	72	204	472	495	338	571	280	217	913	825
gene8	917	506	873	603	756	348	861	239	988	189
gene9	487	715	227	744	421	567	495	478	167	912
gene10	3	49	483	915	181	550	860	459	769	361
gene11	609	51	574	451	94	672	853	487	994	881
gene12	882	276	240	610	832	519	804	120	795	578
gene13	711	702	705	516	568	163	716	407	643	343
gene14	759	838	525	563	848	481	827	60	892	203
gene15	656	750	412	789	576	745	602	942	305	976
gene16	282	493	1	322	77	412	829	166	240	180
gene17	22	336	288	225	442	708	272	655	922	516
gene18	908	189	731	60	141	262	66	336	862	707
gene19	419	651	263	369	427	242	205	355	563	908
gene20	289	842	467	781	274	430	111	579	80	258
gene21	708	856	272	826	676	965	377	5	566	700
gene22	482	822	752	80	166	681	83	190	603	862
gene23	86	782	231	465	899	699	681	1	39	894
gene24	219	124	187	194	76	888	517	393	588	342
gene25	697	942	880	522	926	996	158	480	878	928
gene26	94	76	823	713	829	868	845	439	983	619
gene27	473	206	702	660	186	588	890	780	53	178
gene28	268	990	550	564	599	751	848	917	865	233
gene29	791	776	693	457	239	107	502	263	141	783
gene30	250	439	128	880	908	633	354	646	8	764
gene31	675	898	824	387	310	634	856	732	894	298
gene32	850	785	887	451	478	413	456	921	838	280
gene33	41	241	618	679	511	814	432	929	886	941
gene34	767	464	60	681	633	914	840	571	107	430
gene35	610	421	118	399	320	349	294	495	799	393
gene36	435	462	496	722	503	729	908	699	264	341
gene37	456	127	58	393	123	406	268	590	280	151
gene38	855	789	942	720	359	696	461	660	851	210
gene39	431	557	106	639	999	581	625	382	74	699
gene40	707	294	561	946	381	967	284	309	157	346
gene41	675	484	621	133	915	522	956	518	255	478
gene42	455	815	692	518	245	829	497	390	797	423
gene43	159	257	465	127	160	826	544	587	917	23
gene44	575	128	790	138	434	293	172	200	799	883
gene45	210	913	54	342	667	975	605	832	651	637
gene46	348	74	807	974	115	306	324	712	222	701
gene47	651	353	90	821	492	196	77	631	763	692
gene48	345	739	666	360	348	838	672	88	286	26
gene49	836	142	155	317	277	903	909	249	224	104
gene50	623	387	866	991	335	923	148	69	215	729
gene51	203	457	550	550	176	755	468	873	481	196
gene52	171	101	677	518	537	946	656	838	417	31
gene53	305	667	683	758	201	925	32	304	370	476
gene54	286	532	497	945	679	115	190	152	808	818
gene55	83	158	709	897	837	214	845	845	511	204
gene56	303	879	943	318	683	832	113	290	563	566
gene57	188	815	354	975	21	444	194	463	90	220
gene58	461	812	75	970	725	515	689	627	789	447
gene59	333	739	725	719	590	899	28	137	776	801
gene60	324	56	325	485	1	318	335	179	444	55
gene61	374	617	361	292	817	846	46	213	160	874
gene62	118	289	669	205	806	672	91	371	874	390
gene63	41	486	944	366	207	216	696	525	99	23
gene64	210	907	137	963	973	927	859	25	483	815
gene65	840	779	563	376	562	603	754	45	320	705
gene66	998	739	738	453	753	63	964	336	328	605
gene67	728	322	427	749	314	434	771	11	755	980
gene68	434	379	885	200	12	677	14	546	12	17
gene69	380	28	725	271	656	921	830	215	737	557
gene70	299	494	257	385	395	454	355	248	157	882
gene71	553	29	873	514	691	919	845	542	824	144
gene72	366	759	547	559	382	920	412	207	371	721
gene73	424	643	717	345	566	741	257	581	856	574
gene74	26	79	974	630	933	146	434	214	620	56
gene75	944	891	113	224	886	511	841	217	304	611
gene76	165	576	353	723	702	597	864	115	377	972
gene77	233	485	446	466	121	627	959	703	692	619
gene78	165	769	291	672	498	235	66	77	984	343
gene79	300	516	570	369	614	622	352	580	710	833
gene80	82	18	660	178	887	185	474	163	805	54
gene81	421	930	941	141	587	222	728	570	280	622
gene82	865	280	201	761	624	694	211	345	403	534
gene83	329	838	616	222	924	224	604	515	540	479
gene84	741	901	420	594	702	158	404	535	137	798
gene85	795	271	553	749	86	905	395	174	197	979
gene86	644	667	387	623	429	234	561	848	517	897
gene87	61	882	765	769	864	386	153	620	271	962
gene88	978	852	113	819	17	628	115	610	974	642
gene89	669	7	524	772	333	881	909	554	327	943
gene90	850	997	944	451	972	606	658	161	773	769
gene91	583	595	962	311	958	729	762	520	958	996
gene92	587	124	220	964	744	201	505	626	325	51
gene93	172	627	400	961	197	936	764	669	345	63
gene94	101	899	693	988	319	641	12	551	250	788
gene95	358	28	248	414	881	760	661	977	611	802
gene96	875	303	197	565	462	711	194	548	552	531
gene97	586	93	439	961	168	381	766	823	414	465
gene98	511	723	554	635	743	300	175	266	723	514
gene99	238	615	433	186	805	394	829	145	163	117
