	gene0	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99
0	344	457	951	1	664	201	435	621	999	286	469	475	785	623	777	665	428	477	799	144	964	287	517	797	563	470	938	881	8	213	948	415	270	732	945	498	945	130	514	40	935	170	200	482	606	375	576	874	360	578	710	13	858	5	276	162	198	692	812	894	145	312	840	894	794	927	627	430	404	864	246	191	858	203	629	396	594	941	298	918	384	659	845	529	464	421	619	871	775	217	82	547	74	114	513	481	131	647	644	29
1	185	492	525	847	702	505	147	648	476	970	6	67	581	199	549	674	273	85	153	891	538	655	553	550	721	543	8	276	395	809	17	826	962	25	305	300	533	669	43	253	0	37	337	952	871	346	295	172	602	957	49	146	572	434	490	803	335	714	440	917	881	483	771	237	888	167	76	833	597	32	744	31	228	741	394	690	646	356	610	622	904	323	481	511	818	167	956	6	211	45	196	572	883	645	365	917	648	97	567	95
2	657	751	471	126	981	936	187	499	130	171	417	921	980	199	391	427	332	838	683	121	921	869	552	163	262	456	432	8	570	242	401	878	103	291	102	977	227	697	116	416	175	687	705	175	852	227	565	476	152	354	958	197	7	72	729	632	704	760	905	331	99	410	851	13	604	199	292	264	451	231	310	105	152	11	376	688	486	177	825	456	182	529	304	735	433	381	355	51	229	948	519	403	917	505	236	323	896	4	300	814
3	969	612	214	55	448	54	393	804	583	117	653	49	370	834	850	648	321	780	460	110	26	544	361	404	534	951	137	480	494	584	919	380	490	570	246	359	559	716	8	420	971	904	129	355	904	735	821	114	817	592	91	380	737	295	917	235	463	412	956	161	425	783	654	218	291	358	253	224	319	544	321	0	487	454	665	255	358	215	906	798	309	173	271	771	787	653	993	997	245	11	60	0	885	389	233	910	855	510	568	355
4	611	944	90	365	321	735	18	893	809	471	469	202	601	896	856	744	692	173	711	576	182	1	437	395	817	691	328	849	589	527	590	854	642	729	847	732	652	314	88	840	163	142	458	733	508	665	85	61	596	570	837	678	720	539	112	171	917	858	419	998	360	788	55	10	811	957	813	62	143	648	351	237	836	368	974	367	447	116	244	722	759	123	624	901	123	205	894	702	718	665	324	686	243	970	39	762	392	975	224	473
5	976	131	106	584	339	771	530	925	659	672	917	850	658	43	752	153	990	522	858	670	81	264	496	113	790	549	261	323	184	15	297	9	325	863	149	770	664	181	164	651	828	267	308	799	695	545	280	503	518	916	693	484	300	847	299	745	62	891	969	932	40	258	868	332	856	315	755	493	231	479	188	100	528	825	814	273	268	730	146	54	679	26	502	621	945	221	114	189	500	314	848	76	154	412	913	512	179	598	540	990
6	726	476	618	534	742	945	806	745	665	786	225	830	929	446	38	197	810	419	796	305	682	37	257	605	237	419	579	840	556	35	589	431	437	363	509	457	916	172	441	502	861	804	679	391	216	845	217	444	44	72	852	945	512	808	422	742	793	900	826	209	471	719	634	583	972	538	73	341	713	356	368	966	107	122	451	796	233	661	647	41	21	43	481	472	474	9	692	975	292	289	64	697	285	821	942	954	31	152	223	930
7	585	630	677	328	123	544	194	352	742	688	737	467	630	875	203	718	952	270	489	131	153	952	226	86	416	247	439	817	474	574	230	445	492	271	931	510	150	153	291	26	506	192	30	342	344	433	426	921	196	389	771	354	251	206	673	546	137	932	770	944	1	589	646	493	441	829	64	506	357	69	592	500	855	13	711	51	833	221	747	154	406	154	972	124	273	797	369	449	939	839	629	749	28	478	117	352	266	806	43	4
8	472	536	928	664	762	516	483	693	487	297	443	717	895	742	896	273	212	29	66	782	118	13	324	948	912	96	68	155	732	986	63	853	182	990	889	704	277	671	35	970	679	618	376	76	333	809	222	46	677	102	954	520	975	791	159	110	456	837	140	187	925	300	374	611	817	461	461	538	921	90	267	835	338	811	946	839	121	538	861	332	388	692	817	741	468	204	848	705	814	823	309	766	326	938	68	495	876	545	349	456
9	326	974	244	486	975	691	942	228	424	242	435	960	946	711	234	109	214	143	944	953	485	611	798	246	416	28	431	653	155	667	991	700	660	950	512	828	175	611	548	68	14	572	546	447	448	556	699	452	374	553	671	593	15	280	117	247	524	492	223	787	209	932	690	964	299	658	788	459	636	990	712	92	641	164	656	867	407	992	401	904	833	949	399	458	204	312	897	153	788	541	424	539	910	893	163	269	101	547	693	228
